image_path,label
https://i.pinimg.com/736x/17/0d/5b/170d5b93d80d247be60f22ca1216bef7.jpg,0
https://i.pinimg.com/736x/47/b9/9a/47b99a2ddcde2cf9e62b4faeec2fdf20.jpg,0
https://i.pinimg.com/736x/90/e8/90/90e890f054b920308987c140125c9d19.jpg,0
https://i.pinimg.com/736x/0a/71/6f/0a716f6f14eea3adc30e0944a7123759.jpg,0
https://i.pinimg.com/736x/f1/95/be/f195bea0b78d1c0c90ab54341bf39536.jpg,0
https://i.pinimg.com/736x/78/da/54/78da54b8fa9b7380c3ddd62914e6d5ec.jpg,0
https://i.pinimg.com/736x/ac/9d/83/ac9d837e514fd72c557a0cd1189ca0b6.jpg,0
https://i.pinimg.com/736x/8f/a4/01/8fa401465b3e34e816a57e3ab6064783.jpg,0
https://i.pinimg.com/736x/ed/4f/5f/ed4f5fa4c34b4bc98c1d1065dfee15a4.jpg,0
https://i.pinimg.com/736x/12/c8/25/12c8256524cb8e6c9a4e2e22180b561e.jpg,0
https://i.pinimg.com/736x/52/54/b9/5254b9b2e8efba66d68ae5155040cd75.jpg,0
https://i.pinimg.com/736x/83/44/04/834404b9936f1424d4b2ae392ec3834f.jpg,0
https://i.pinimg.com/736x/51/2d/4a/512d4a10450a56a7d82d4619a9068d03.jpg,0
https://i.pinimg.com/736x/bb/08/e7/bb08e767d89aa8827ecce1fe013369ce.jpg,0
https://i.pinimg.com/736x/2f/f3/b3/2ff3b31bec0166638cde3675ebb82e2c.jpg,0
https://i.pinimg.com/736x/cc/21/c1/cc21c17fa57abbb6ba2f9a40fa333425.jpg,0
https://i.pinimg.com/736x/e4/b9/20/e4b920e0ea415702143e3ba1427ac31e.jpg,0
https://i.pinimg.com/736x/93/e3/5c/93e35c89b4ad8135e9453f49f6e26480.jpg,0
https://i.pinimg.com/736x/f3/dd/32/f3dd3201859ff67b986c4fe681788db5.jpg,0
https://i.pinimg.com/736x/89/c7/72/89c77286f0c2140ad11a919b356424c3.jpg,0
https://i.pinimg.com/736x/4c/2e/78/4c2e788c23efc5ce12b6be6b3a487c41.jpg,0
https://i.pinimg.com/736x/24/ff/35/24ff35f5c960bc12c21492a66552c6b7.jpg,0
https://i.pinimg.com/736x/76/bd/00/76bd00aa0c671914f988ea0d6f8d9861.jpg,0
